,,,
,,,
,,,
,,,
,Demographic Category,Demographic Group,Percent
,Total,Total,45.60%
,Sex,Male,50.30%
,Sex,Female,41.30%
,Race / Ethnicity,Non-Hispanic White,46.60%
,Race / Ethnicity,Non-Hispanic Others,35.20%
,Race / Ethnicity,Non-Hispanic Black,57.00%
,Race / Ethnicity,Hispanic,43.40%
,Age Group,65+ Years,42.70%
,Age Group,45-64 Years,46.40%
,Age Group,30-44 Years,51.00%
,Age Group,18-29 Years,41.80%
,Education,Some College,49.70%
,Education,Less Than High School,40.90%
,Education,High School Graduate,46.20%
,Education,College Graduate,43.10%
,Income Level,"Less Than $25,000",44.20%
,Income Level,"$50,000 or More",47.80%
,Income Level,"$25,000-$49,999",46.20%
,Employment Status,Not Employed,41.20%
,Employment Status,Employed,49.50%
,Health Care Coverage,Not Covered,49.00%
,Health Care Coverage,Covered,44.30%
,Marital Status,Not Married,45.60%
,Marital Status,Married,45.70%
,Disability Status,No Disability,46.10%
,Disability Status,Has Disability,44.30%
