,,,
,,,
,,,
,,,
,,,
,Demographic Category,Demographic Group,Percent
,Total,Total,38.90%
,Sex,Male,36.50%
,Sex,Female,41.10%
,Race / Ethnicity,Non-Hispanic White,37.50%
,Race / Ethnicity,Non-Hispanic Others,55.20%
,Race / Ethnicity,Non-Hispanic Black,28.60%
,Race / Ethnicity,Hispanic,40.50%
,Age Group,65+ Years,51.50%
,Age Group,45-64 Years,37.20%
,Age Group,30-44 Years,28.60%
,Age Group,18-29 Years,38.40%
,Education,Some College,34.50%
,Education,Less Than High School,41.60%
,Education,High School Graduate,37.30%
,Education,College Graduate,44.50%
,Income Level,"Less Than $25,000",37.70%
,Income Level,"$50,000 or More",37.50%
,Income Level,"$25,000-$49,999",37.90%
,Employment Status,Not Employed,44.70%
,Employment Status,Employed,33.80%
,Health Care Coverage,Not Covered,32.80%
,Health Care Coverage,Covered,41.00%
,Marital Status,Not Married,36.50%
,Marital Status,Married,40.80%
,Disability Status,No Disability,41.90%
,Disability Status,Has Disability,30.90%
