Indicator Category,Indicator Group,Percent
Health-related quality of life,Fair or poor health,20.3
Health-related quality of life,Frequent physical distress,10.5
Health-related quality of life,Frequent mental distress,9.5
Health-related quality of life,Frequent activity limitation,7.1
Health risk behaviors and conditions,Currently smoking,15.4
Health risk behaviors and conditions,Heavy drinking,6.3
Health risk behaviors and conditions,Binge drinking,16.7
Health risk behaviors and conditions,Obesity,37.2
Chronic Conditions,Depression,17.1
Chronic Conditions,Disability,27.8
Chronic Conditions,Arthritis,23
Chronic Conditions,Current asthma,7.8
Chronic Conditions,Chronic obstructive pulmonary disease,5.5
Chronic Conditions,Cardiovascular disease,8.5
Chronic Conditions,Diabetes,12.5
Chronic Conditions,Kidney disease,3.5
Chronic Conditions,Cancer,10.5
